"latitude_deg","longitude_deg","GPSQuality","altitude_m","altitudeQuality","time","FileName","TransducerName","TransducerNumber","ReportNumber","FirstPingNumber","LastPingNumber","BottomStatus","bottom_elevation_m","PlantStatus","plant_height_m","percent_coverage"
"49.7839823748333","-64.397684038","RTK Fixed","0.98982","1","2022-07-08 19:32:11.126000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8836","8836","8836","Valid","-2.33266091346741","Valid","0.1555107","100"
"49.7839832928333","-64.397678734","RTK Fixed","0.96126","1","2022-07-08 19:32:11.330000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8837","8837","8837","Valid","-2.33266091346741","Valid","0.1382318","100"
"49.7839831391391","-64.397673127294","RTK Fixed","0.9522322","1","2022-07-08 19:32:11.533000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8838","8838","8838","Valid","-2.34993982315063","Valid","0","0"
"49.7839829349349","-64.3976674776443","RTK Fixed","0.9440641","1","2022-07-08 19:32:11.737000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8839","8839","8839","Valid","-2.34993982315063","Valid","0","0"
"49.7839827327327","-64.3976618833834","RTK Fixed","0.935976","1","2022-07-08 19:32:11.939000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8840","8840","8840","Valid","-2.34993982315063","Valid","0.1382318","100"
"49.7839825285285","-64.3976562337337","RTK Fixed","0.9278078","1","2022-07-08 19:32:12.143000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8841","8841","8841","Valid","-2.4017767906189","Valid","0.1900687","100"
"49.7839822902098","-64.3976506550116","RTK Fixed","0.9194406","1","2022-07-08 19:32:12.345000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8842","8842","8842","Valid","-2.29810285568237","Valid","0","0"
"49.783981027306","-64.3976454327339","RTK Fixed","0.903057","1","2022-07-08 19:32:12.550000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8843","8843","8843","Valid","-2.33266091346741","Valid","0.1209528","100"
"49.7839797828838","-64.3976402868798","RTK Fixed","0.8869131","1","2022-07-08 19:32:12.752000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8844","8844","8844","Valid","-2.26354503631592","Valid","0.1209528","100"
"49.7839785261405","-64.3976350900766","RTK Fixed","0.8706094","1","2022-07-08 19:32:12.956000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8845","8845","8845","Valid","-2.26354503631592","Valid","0.2937425","100"
"49.7839772817183","-64.3976299442224","RTK Fixed","0.8544655","1","2022-07-08 19:32:13.158000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8846","8846","8846","Valid","-2.21170806884766","Valid","0.1555107","100"
"49.7839759684685","-64.3976248121455","RTK Fixed","0.8435235","1","2022-07-08 19:32:13.361000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8847","8847","8847","Valid","-2.26354503631592","Valid","0.1036739","100"
"49.7839741216216","-64.3976199556223","RTK Fixed","0.8763564","1","2022-07-08 19:32:13.566000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8848","8848","8848","Valid","-2.34993982315063","Valid","0.1900687","100"
"49.7839723018018","-64.3976151701702","RTK Fixed","0.9087087","1","2022-07-08 19:32:13.768000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8849","8849","8849","Valid","-2.41905570030212","Valid","0.2246265","100"
"49.783970472973","-64.3976103610277","RTK Fixed","0.9412212","1","2022-07-08 19:32:13.971000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8850","8850","8850","Valid","-2.64368224143982","Valid","0.3110213","100"
"49.7839686441441","-64.3976055518852","RTK Fixed","0.9737337","1","2022-07-08 19:32:14.174000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8851","8851","8851","Valid","-2.52272939682007","Valid","0.1900685","100"
"49.7839666666667","-64.39760088","RTK Fixed","0.9956","1","2022-07-08 19:32:14.378000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8852","8852","8852","Valid","-2.52272939682007","Valid","0.2246265","100"
"49.7839641291667","-64.3975968876667","RTK Fixed","0.97327","1","2022-07-08 19:32:14.581000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8853","8853","8853","Valid","-2.52272939682007","Valid","0.2937424","100"
"49.7839615791667","-64.3975928756667","RTK Fixed","0.95083","1","2022-07-08 19:32:14.785000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8854","8854","8854","Valid","-2.52272939682007","Valid","0.3110213","100"
"49.7839590541667","-64.397588903","RTK Fixed","0.92861","1","2022-07-08 19:32:14.987000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8855","8855","8855","Valid","-2.52272939682007","Valid","0.3628583","100"
"49.7839565041667","-64.397584891","RTK Fixed","0.90617","1","2022-07-08 19:32:15.191000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8856","8856","8856","Valid","-2.52272939682007","Valid","0.3283002","100"
"49.7839539065934","-64.3975811575092","RTK Fixed","0.896044","1","2022-07-08 19:32:15.393000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8857","8857","8857","Valid","-2.38449764251709","Valid","0.1727896","100"
"49.7839510874126","-64.397578032634","RTK Fixed","0.9184615","1","2022-07-08 19:32:15.597000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8858","8858","8858","Valid","-2.4017767906189","Valid","0.1209528","100"
"49.7839482820513","-64.3975749230769","RTK Fixed","0.9407692","1","2022-07-08 19:32:15.800000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8859","8859","8859","Valid","-2.45361375808716","Valid","0.2419057","100"
"49.78394547669","-64.3975718135198","RTK Fixed","0.9630769","1","2022-07-08 19:32:16.003000 GMT+00:00","20220708_190215.dt4","204.8 kHz 8.8° Single","1","8860","8860","8860","Valid","-2.45361375808716","Valid","0.1209528","100"
