"Latitude_deg";"Longitude_deg";"GPSQuality";"Altitude_mReMsl";"AltitudeQuality";"Time";"FileName";"TransducerName";"TransducerNumber";"ReportNumber";"FirstPingNumber";"LastPingNumber";"BottomStatus";"BottomElevation_m";"PlantStatus";"PlantHeight_m";"PercentCoverage"
"49.7814603268398";"-64.3572243701299";"Differential";"-0.2297403";"1";"2022-07-06 16:55:43.189000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"35";"35";"35";"Valid";"-11.1515102386475";"Valid";"0.5723901";"100"
"49.7814569132534";"-64.3572256753247";"Differential";"-0.2478122";"1";"2022-07-06 16:55:43.390000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"36";"36";"36";"Valid";"-11.116819858551";"Valid";"0.589735";"100"
"49.781453482684";"-64.357226987013";"Differential";"-0.265974";"1";"2022-07-06 16:55:43.592000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"37";"37";"37";"Valid";"-11.116819858551";"Valid";"0.589735";"100"
"49.7814501358333";"-64.35722857";"Differential";"-0.27415";"1";"2022-07-06 16:55:43.793000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"38";"38";"38";"Valid";"-11.064784526825";"Valid";"0.3642483";"100"
"49.7814469893333";"-64.3572311413333";"Differential";"-0.24776";"1";"2022-07-06 16:55:43.996000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"39";"39";"39";"Valid";"-11.1341652870178";"Valid";"0.450974";"100"
"49.7814438738333";"-64.3572336873333";"Differential";"-0.22163";"1";"2022-07-06 16:55:44.197000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"40";"40";"40";"Valid";"-11.1515102386475";"Valid";"0.5376997";"100"
"49.7814407273333";"-64.3572362586667";"Differential";"-0.19524";"1";"2022-07-06 16:55:44.400000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"41";"41";"41";"Valid";"-11.2555813789368";"Valid";"0.6244254";"100"
"49.7814375963333";"-64.3572388173333";"Differential";"-0.16898";"1";"2022-07-06 16:55:44.602000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"42";"42";"42";"Valid";"-11.2035460472107";"Valid";"0.5897355";"100"
"49.7814347185519";"-64.3572416851852";"Differential";"-0.1461461";"1";"2022-07-06 16:55:44.803000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"43";"43";"43";"Valid";"-11.2729263305664";"Valid";"0.589735";"100"
"49.7814324718051";"-64.3572454074074";"Differential";"-0.1320621";"1";"2022-07-06 16:55:45.004000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"44";"44";"44";"Valid";"-11.2729263305664";"Valid";"0.450974";"100"
"49.7814302027027";"-64.3572491666667";"Differential";"-0.1178378";"1";"2022-07-06 16:55:45.207000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"45";"45";"45";"Valid";"-11.2555813789368";"Valid";"0.4162836";"100"
"49.781427955956";"-64.3572528888889";"Differential";"-0.1037538";"1";"2022-07-06 16:55:45.408000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"46";"46";"46";"Valid";"-11.2729263305664";"Valid";"0.2948675";"100"
"49.7814256868535";"-64.3572566481482";"Differential";"-0.08952953";"1";"2022-07-06 16:55:45.611000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"47";"47";"47";"Valid";"-11.2729263305664";"Valid";"0.3122125";"100"
"49.781423540293";"-64.3572605732601";"Differential";"-0.08395604";"1";"2022-07-06 16:55:45.813000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"48";"48";"48";"Valid";"-11.2729263305664";"Valid";"0.3642483";"100"
"49.7814216232101";"-64.3572648782884";"Differential";"-0.09606393";"1";"2022-07-06 16:55:46.015000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"49";"49";"49";"Valid";"-11.2902717590332";"Valid";"0.4683194";"100"
"49.7814197156177";"-64.3572691620047";"Differential";"-0.1081119";"1";"2022-07-06 16:55:46.216000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"50";"50";"50";"Valid";"-11.23823595047";"Valid";"0.4856639";"100"
"49.7814178080253";"-64.3572734457209";"Differential";"-0.1201598";"1";"2022-07-06 16:55:46.417000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"51";"51";"51";"Valid";"-11.1862006187439";"Valid";"0.4336286";"100"
"49.7814158814519";"-64.3572777720613";"Differential";"-0.1323277";"1";"2022-07-06 16:55:46.620000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"52";"52";"52";"Valid";"-11.1688556671143";"Valid";"0.3815937";"100"
